,Butte
0,16CV00858
1,165734
2,165734
3,163486
4,163486
5,164455
6,159961
7,163657
8,163650
9,159961
10,158444
11,159082
12,157938
13,158017
14,1149934
15,141889
16,143334
17,141558
18,138474
19,137102
20,135610
21,136426
22,136426
23,136631
24,134914
25,134914
26,132695
27,124424
